Running 2m test @ http://10.97.31.177:9080/productpage
  2 threads and 10 connections
  Thread calibration: mean lat.: 36.835ms, rate sampling interval: 136ms
  Thread calibration: mean lat.: 43.203ms, rate sampling interval: 175ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    40.13ms   24.31ms 126.66ms   68.72%
    Req/Sec    14.73     13.79    37.00     85.78%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   28.17ms
 75.000%   61.50ms
 90.000%   76.80ms
 99.000%   97.15ms
 99.900%  121.60ms
 99.990%  126.72ms
 99.999%  126.72ms
100.000%  126.72ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      11.215     0.000000            1         1.00
      16.023     0.100000          330         1.11
      20.351     0.200000          660         1.25
      24.191     0.300000          990         1.43
      26.175     0.400000         1321         1.67
      28.175     0.500000         1653         2.00
      29.615     0.550000         1818         2.22
      31.999     0.600000         1980         2.50
      44.671     0.650000         2145         2.86
      56.031     0.700000         2310         3.33
      61.535     0.750000         2476         4.00
      63.999     0.775000         2557         4.44
      66.047     0.800000         2643         5.00
      67.775     0.825000         2722         5.71
      69.823     0.850000         2805         6.67
      71.743     0.875000         2887         8.00
      73.855     0.887500         2929         8.89
      76.927     0.900000         2970        10.00
      80.703     0.912500         3011        11.43
      84.351     0.925000         3052        13.33
      86.591     0.937500         3093        16.00
      87.487     0.943750         3114        17.78
      88.511     0.950000         3135        20.00
      89.407     0.956250         3156        22.86
      90.559     0.962500         3176        26.67
      91.455     0.968750         3196        32.00
      92.095     0.971875         3207        35.56
      92.671     0.975000         3218        40.00
      93.055     0.978125         3228        45.71
      93.823     0.981250         3238        53.33
      94.655     0.984375         3248        64.00
      95.551     0.985938         3253        71.11
      96.383     0.987500         3258        80.00
      96.895     0.989062         3263        91.43
      97.471     0.990625         3269       106.67
      98.559     0.992188         3274       128.00
      99.071     0.992969         3276       142.22
     100.479     0.993750         3279       160.00
     102.271     0.994531         3281       182.86
     110.975     0.995313         3284       213.33
     112.639     0.996094         3287       256.00
     114.111     0.996484         3288       284.44
     115.135     0.996875         3289       320.00
     115.263     0.997266         3290       365.71
     118.847     0.997656         3292       426.67
     120.127     0.998047         3293       512.00
     120.447     0.998242         3294       568.89
     120.447     0.998437         3294       640.00
     121.087     0.998633         3295       731.43
     121.599     0.998828         3296       853.33
     121.599     0.999023         3296      1024.00
     124.863     0.999121         3297      1137.78
     124.863     0.999219         3297      1280.00
     124.863     0.999316         3297      1462.86
     124.991     0.999414         3298      1706.67
     124.991     0.999512         3298      2048.00
     124.991     0.999561         3298      2275.56
     124.991     0.999609         3298      2560.00
     124.991     0.999658         3298      2925.71
     126.719     0.999707         3299      3413.33
     126.719     1.000000         3299          inf
#[Mean    =       40.126, StdDeviation   =       24.312]
#[Max     =      126.656, Total count    =         3299]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  3602 requests in 2.00m, 52.68MB read
Requests/sec:     30.01
Transfer/sec:    449.42KB
