Running 2m test @ http://10.102.123.170:11000/a?value=1
  2 threads and 10 connections
  Thread calibration: mean lat.: 38.794ms, rate sampling interval: 103ms
  Thread calibration: mean lat.: 38.775ms, rate sampling interval: 101ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    37.53ms   10.94ms 152.19ms   73.64%
    Req/Sec    39.87     15.20    90.00     81.61%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   36.61ms
 75.000%   43.46ms
 90.000%   50.69ms
 99.000%   68.10ms
 99.900%   99.65ms
 99.990%  143.23ms
 99.999%  152.32ms
100.000%  152.32ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.103     0.000000            1         1.00
      25.391     0.100000          880         1.11
      29.087     0.200000         1762         1.25
      31.983     0.300000         2643         1.43
      34.495     0.400000         3529         1.67
      36.607     0.500000         4407         2.00
      37.791     0.550000         4850         2.22
      39.007     0.600000         5282         2.50
      40.287     0.650000         5722         2.86
      41.791     0.700000         6172         3.33
      43.455     0.750000         6602         4.00
      44.383     0.775000         6821         4.44
      45.311     0.800000         7041         5.00
      46.303     0.825000         7261         5.71
      47.647     0.850000         7483         6.67
      48.927     0.875000         7701         8.00
      49.663     0.887500         7811         8.89
      50.687     0.900000         7920        10.00
      51.775     0.912500         8031        11.43
      52.831     0.925000         8141        13.33
      54.143     0.937500         8253        16.00
      54.975     0.943750         8308        17.78
      55.647     0.950000         8363        20.00
      56.543     0.956250         8415        22.86
      57.599     0.962500         8471        26.67
      59.199     0.968750         8526        32.00
      60.095     0.971875         8553        35.56
      60.831     0.975000         8580        40.00
      61.599     0.978125         8608        45.71
      62.847     0.981250         8635        53.33
      64.607     0.984375         8663        64.00
      65.503     0.985938         8677        71.11
      66.623     0.987500         8690        80.00
      67.391     0.989062         8704        91.43
      68.991     0.990625         8718       106.67
      70.591     0.992188         8732       128.00
      71.743     0.992969         8739       142.22
      72.639     0.993750         8746       160.00
      73.151     0.994531         8752       182.86
      75.391     0.995313         8759       213.33
      76.543     0.996094         8766       256.00
      78.271     0.996484         8771       284.44
      78.783     0.996875         8773       320.00
      80.767     0.997266         8776       365.71
      82.687     0.997656         8780       426.67
      83.135     0.998047         8783       512.00
      86.847     0.998242         8785       568.89
      91.839     0.998437         8787       640.00
      95.167     0.998633         8788       731.43
      99.007     0.998828         8790       853.33
     101.631     0.999023         8792      1024.00
     105.471     0.999121         8793      1137.78
     136.319     0.999219         8794      1280.00
     136.319     0.999316         8794      1462.86
     138.495     0.999414         8795      1706.67
     139.519     0.999512         8796      2048.00
     141.311     0.999561         8797      2275.56
     141.311     0.999609         8797      2560.00
     141.311     0.999658         8797      2925.71
     142.975     0.999707         8798      3413.33
     142.975     0.999756         8798      4096.00
     143.231     0.999780         8799      4551.11
     143.231     0.999805         8799      5120.00
     143.231     0.999829         8799      5851.43
     143.231     0.999854         8799      6826.67
     143.231     0.999878         8799      8192.00
     152.319     0.999890         8800      9102.22
     152.319     1.000000         8800          inf
#[Mean    =       37.526, StdDeviation   =       10.939]
#[Max     =      152.192, Total count    =         8800]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  9600 requests in 2.00m, 2.27MB read
Requests/sec:     79.98
Transfer/sec:     19.37KB
