Running 2m test @ http://10.102.123.170:11000/a?value=1
  2 threads and 10 connections
  Thread calibration: mean lat.: 32.382ms, rate sampling interval: 83ms
  Thread calibration: mean lat.: 29.994ms, rate sampling interval: 81ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    29.70ms   25.49ms 680.96ms   98.93%
    Req/Sec    49.85     16.41   185.00     83.35%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   28.03ms
 75.000%   33.73ms
 90.000%   39.26ms
 99.000%   56.70ms
 99.900%  449.79ms
 99.990%  610.82ms
 99.999%  681.47ms
100.000%  681.47ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.367     0.000000            1         1.00
      17.743     0.100000         1102         1.11
      20.639     0.200000         2209         1.25
      23.167     0.300000         3303         1.43
      25.983     0.400000         4403         1.67
      28.031     0.500000         5504         2.00
      29.023     0.550000         6062         2.22
      30.031     0.600000         6605         2.50
      31.135     0.650000         7150         2.86
      32.351     0.700000         7701         3.33
      33.727     0.750000         8255         4.00
      34.495     0.775000         8529         4.44
      35.359     0.800000         8808         5.00
      36.095     0.825000         9076         5.71
      37.023     0.850000         9355         6.67
      37.951     0.875000         9625         8.00
      38.591     0.887500         9766         8.89
      39.263     0.900000         9903        10.00
      39.967     0.912500        10043        11.43
      40.767     0.925000        10175        13.33
      41.759     0.937500        10319        16.00
      42.303     0.943750        10386        17.78
      43.103     0.950000        10452        20.00
      43.743     0.956250        10519        22.86
      44.607     0.962500        10588        26.67
      45.727     0.968750        10658        32.00
      46.175     0.971875        10693        35.56
      46.719     0.975000        10725        40.00
      47.487     0.978125        10760        45.71
      48.607     0.981250        10795        53.33
      49.983     0.984375        10829        64.00
      51.135     0.985938        10846        71.11
      52.511     0.987500        10863        80.00
      54.847     0.989062        10880        91.43
      57.791     0.990625        10897       106.67
      62.751     0.992188        10915       128.00
      67.135     0.992969        10923       142.22
     102.847     0.993750        10932       160.00
     132.479     0.994531        10940       182.86
     153.727     0.995313        10949       213.33
     195.583     0.996094        10958       256.00
     207.231     0.996484        10962       284.44
     228.991     0.996875        10966       320.00
     271.103     0.997266        10971       365.71
     299.519     0.997656        10975       426.67
     359.167     0.998047        10979       512.00
     364.799     0.998242        10981       568.89
     375.551     0.998437        10983       640.00
     437.247     0.998633        10985       731.43
     449.791     0.998828        10989       853.33
     510.719     0.999023        10990      1024.00
     518.143     0.999121        10991      1137.78
     518.655     0.999219        10992      1280.00
     530.431     0.999316        10993      1462.86
     532.991     0.999414        10994      1706.67
     588.287     0.999512        10995      2048.00
     590.335     0.999561        10996      2275.56
     590.335     0.999609        10996      2560.00
     592.383     0.999658        10997      2925.71
     592.383     0.999707        10997      3413.33
     594.431     0.999756        10998      4096.00
     594.431     0.999780        10998      4551.11
     594.431     0.999805        10998      5120.00
     610.815     0.999829        10999      5851.43
     610.815     0.999854        10999      6826.67
     610.815     0.999878        10999      8192.00
     610.815     0.999890        10999      9102.22
     610.815     0.999902        10999     10240.00
     681.471     0.999915        11000     11702.86
     681.471     1.000000        11000          inf
#[Mean    =       29.697, StdDeviation   =       25.488]
#[Max     =      680.960, Total count    =        11000]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  12002 requests in 2.00m, 2.84MB read
Requests/sec:    100.00
Transfer/sec:     24.22KB
