Running 2m test @ http://10.102.123.170:11000/a?value=1
  2 threads and 10 connections
  Thread calibration: mean lat.: 27.094ms, rate sampling interval: 74ms
  Thread calibration: mean lat.: 22.863ms, rate sampling interval: 62ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    24.07ms   13.07ms 516.61ms   95.06%
    Req/Sec    74.99     12.68   123.00     83.56%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   21.66ms
 75.000%   27.84ms
 90.000%   33.60ms
 99.000%   45.85ms
 99.900%  216.96ms
 99.990%  461.82ms
 99.999%  516.86ms
100.000%  516.86ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.063     0.000000            1         1.00
      17.055     0.100000         1657         1.11
      18.111     0.200000         3311         1.25
      19.055     0.300000         4975         1.43
      20.175     0.400000         6613         1.67
      21.663     0.500000         8256         2.00
      22.639     0.550000         9088         2.22
      23.631     0.600000         9909         2.50
      24.815     0.650000        10726         2.86
      26.191     0.700000        11558         3.33
      27.839     0.750000        12374         4.00
      28.639     0.775000        12788         4.44
      29.535     0.800000        13205         5.00
      30.431     0.825000        13612         5.71
      31.359     0.850000        14026         6.67
      32.383     0.875000        14437         8.00
      33.023     0.887500        14651         8.89
      33.599     0.900000        14849        10.00
      34.207     0.912500        15054        11.43
      34.943     0.925000        15267        13.33
      35.711     0.937500        15466        16.00
      36.191     0.943750        15574        17.78
      36.703     0.950000        15676        20.00
      37.279     0.956250        15782        22.86
      37.919     0.962500        15881        26.67
      38.847     0.968750        15984        32.00
      39.391     0.971875        16040        35.56
      39.999     0.975000        16087        40.00
      40.799     0.978125        16138        45.71
      41.663     0.981250        16189        53.33
      42.559     0.984375        16241        64.00
      43.455     0.985938        16268        71.11
      43.839     0.987500        16291        80.00
      45.087     0.989062        16318        91.43
      46.271     0.990625        16343       106.67
      48.319     0.992188        16369       128.00
      49.503     0.992969        16382       142.22
      50.495     0.993750        16394       160.00
      51.519     0.994531        16407       182.86
      52.895     0.995313        16420       213.33
      55.679     0.996094        16433       256.00
      57.183     0.996484        16440       284.44
      59.007     0.996875        16446       320.00
      60.351     0.997266        16452       365.71
      63.199     0.997656        16459       426.67
      66.943     0.998047        16465       512.00
      74.559     0.998242        16469       568.89
      79.935     0.998437        16472       640.00
     107.647     0.998633        16475       731.43
     167.551     0.998828        16478       853.33
     216.959     0.999023        16481      1024.00
     251.263     0.999121        16483      1137.78
     259.583     0.999219        16485      1280.00
     269.567     0.999316        16486      1462.86
     309.503     0.999414        16488      1706.67
     333.055     0.999512        16489      2048.00
     350.719     0.999561        16490      2275.56
     373.759     0.999609        16491      2560.00
     393.471     0.999658        16492      2925.71
     421.375     0.999707        16493      3413.33
     421.375     0.999756        16493      4096.00
     436.479     0.999780        16494      4551.11
     436.479     0.999805        16494      5120.00
     461.823     0.999829        16495      5851.43
     461.823     0.999854        16495      6826.67
     461.823     0.999878        16495      8192.00
     478.207     0.999890        16496      9102.22
     478.207     0.999902        16496     10240.00
     478.207     0.999915        16496     11702.86
     478.207     0.999927        16496     13653.33
     478.207     0.999939        16496     16384.00
     516.863     0.999945        16497     18204.44
     516.863     1.000000        16497          inf
#[Mean    =       24.065, StdDeviation   =       13.070]
#[Max     =      516.608, Total count    =        16497]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  18002 requests in 2.00m, 4.26MB read
Requests/sec:    149.99
Transfer/sec:     36.32KB
