Running 2m test @ http://10.102.123.170:11000/a?value=1
  2 threads and 10 connections
  Thread calibration: mean lat.: 27.545ms, rate sampling interval: 70ms
  Thread calibration: mean lat.: 28.586ms, rate sampling interval: 73ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    24.90ms    6.72ms 107.58ms   74.71%
    Req/Sec    75.05     12.02   136.00     83.14%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   23.90ms
 75.000%   28.33ms
 90.000%   33.15ms
 99.000%   46.17ms
 99.900%   63.94ms
 99.990%   92.48ms
 99.999%  107.65ms
100.000%  107.65ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.223     0.000000            1         1.00
      17.855     0.100000         1659         1.11
      19.455     0.200000         3308         1.25
      20.863     0.300000         4966         1.43
      22.335     0.400000         6606         1.67
      23.903     0.500000         8256         2.00
      24.687     0.550000         9082         2.22
      25.487     0.600000         9898         2.50
      26.351     0.650000        10728         2.86
      27.343     0.700000        11551         3.33
      28.335     0.750000        12374         4.00
      28.943     0.775000        12794         4.44
      29.615     0.800000        13203         5.00
      30.303     0.825000        13610         5.71
      31.039     0.850000        14026         6.67
      32.015     0.875000        14436         8.00
      32.559     0.887500        14643         8.89
      33.151     0.900000        14846        10.00
      33.695     0.912500        15056        11.43
      34.463     0.925000        15258        13.33
      35.359     0.937500        15470        16.00
      35.903     0.943750        15569        17.78
      36.479     0.950000        15671        20.00
      37.279     0.956250        15775        22.86
      38.079     0.962500        15881        26.67
      39.167     0.968750        15981        32.00
      39.775     0.971875        16034        35.56
      40.447     0.975000        16083        40.00
      41.215     0.978125        16138        45.71
      42.207     0.981250        16186        53.33
      43.743     0.984375        16238        64.00
      44.543     0.985938        16264        71.11
      45.023     0.987500        16289        80.00
      45.663     0.989062        16315        91.43
      46.687     0.990625        16342       106.67
      48.159     0.992188        16367       128.00
      49.023     0.992969        16380       142.22
      50.367     0.993750        16392       160.00
      51.263     0.994531        16406       182.86
      51.711     0.995313        16418       213.33
      53.151     0.996094        16431       256.00
      54.271     0.996484        16438       284.44
      54.911     0.996875        16444       320.00
      56.127     0.997266        16450       365.71
      58.015     0.997656        16457       426.67
      58.591     0.998047        16463       512.00
      60.479     0.998242        16467       568.89
      61.023     0.998437        16470       640.00
      61.631     0.998633        16473       731.43
      62.143     0.998828        16476       853.33
      63.935     0.999023        16479      1024.00
      66.879     0.999121        16481      1137.78
      69.311     0.999219        16483      1280.00
      70.271     0.999316        16484      1462.86
      75.455     0.999414        16486      1706.67
      75.839     0.999512        16487      2048.00
      77.631     0.999561        16488      2275.56
      79.551     0.999609        16489      2560.00
      80.895     0.999658        16490      2925.71
      86.463     0.999707        16491      3413.33
      86.463     0.999756        16491      4096.00
      89.023     0.999780        16492      4551.11
      89.023     0.999805        16492      5120.00
      92.479     0.999829        16493      5851.43
      92.479     0.999854        16493      6826.67
      92.479     0.999878        16493      8192.00
     100.543     0.999890        16494      9102.22
     100.543     0.999902        16494     10240.00
     100.543     0.999915        16494     11702.86
     100.543     0.999927        16494     13653.33
     100.543     0.999939        16494     16384.00
     107.647     0.999945        16495     18204.44
     107.647     1.000000        16495          inf
#[Mean    =       24.901, StdDeviation   =        6.719]
#[Max     =      107.584, Total count    =        16495]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  18002 requests in 2.00m, 4.26MB read
Requests/sec:    149.99
Transfer/sec:     36.33KB
