Running 2m test @ http://10.102.123.170:11000/a?value=1
  2 threads and 10 connections
  Thread calibration: mean lat.: 145.233ms, rate sampling interval: 503ms
  Thread calibration: mean lat.: 129.044ms, rate sampling interval: 527ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    80.82ms   23.76ms 180.99ms   68.36%
    Req/Sec     4.56      4.22     9.00    100.00%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   80.64ms
 75.000%   97.41ms
 90.000%  109.18ms
 99.000%  138.62ms
 99.900%  172.54ms
 99.990%  181.12ms
 99.999%  181.12ms
100.000%  181.12ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      11.623     0.000000            1         1.00
      50.847     0.100000          110         1.11
      59.967     0.200000          221         1.25
      67.967     0.300000          330         1.43
      74.431     0.400000          442         1.67
      80.639     0.500000          551         2.00
      83.967     0.550000          607         2.22
      86.911     0.600000          660         2.50
      90.175     0.650000          715         2.86
      93.183     0.700000          773         3.33
      97.407     0.750000          825         4.00
      99.071     0.775000          854         4.44
     100.927     0.800000          880         5.00
     102.655     0.825000          908         5.71
     104.895     0.850000          936         6.67
     107.519     0.875000          963         8.00
     108.415     0.887500          977         8.89
     109.183     0.900000          990        10.00
     111.295     0.912500         1004        11.43
     113.343     0.925000         1018        13.33
     116.543     0.937500         1033        16.00
     117.311     0.943750         1039        17.78
     118.399     0.950000         1045        20.00
     119.359     0.956250         1052        22.86
     120.831     0.962500         1059        26.67
     122.431     0.968750         1067        32.00
     123.583     0.971875         1070        35.56
     125.375     0.975000         1073        40.00
     126.527     0.978125         1076        45.71
     128.511     0.981250         1080        53.33
     129.919     0.984375         1083        64.00
     131.583     0.985938         1085        71.11
     137.215     0.987500         1087        80.00
     137.855     0.989062         1088        91.43
     142.335     0.990625         1090       106.67
     146.303     0.992188         1092       128.00
     155.775     0.992969         1093       142.22
     156.287     0.993750         1094       160.00
     156.287     0.994531         1094       182.86
     157.439     0.995313         1095       213.33
     160.511     0.996094         1096       256.00
     161.791     0.996484         1097       284.44
     161.791     0.996875         1097       320.00
     161.791     0.997266         1097       365.71
     172.415     0.997656         1098       426.67
     172.415     0.998047         1098       512.00
     172.543     0.998242         1099       568.89
     172.543     0.998437         1099       640.00
     172.543     0.998633         1099       731.43
     172.543     0.998828         1099       853.33
     172.543     0.999023         1099      1024.00
     181.119     0.999121         1100      1137.78
     181.119     1.000000         1100          inf
#[Mean    =       80.816, StdDeviation   =       23.758]
#[Max     =      180.992, Total count    =         1100]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1200 requests in 2.00m, 290.87KB read
Requests/sec:     10.00
Transfer/sec:      2.42KB
