Running 2m test @ http://10.105.92.109:11003/d?value=1
  4 threads and 10 connections
  Thread calibration: mean lat.: 28.468ms, rate sampling interval: 71ms
  Thread calibration: mean lat.: 27.532ms, rate sampling interval: 71ms
  Thread calibration: mean lat.: 25.111ms, rate sampling interval: 66ms
  Thread calibration: mean lat.: 27.839ms, rate sampling interval: 69ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    27.34ms    9.17ms 117.82ms   83.40%
    Req/Sec     7.42     12.12    30.00     76.52%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   28.30ms
 75.000%   31.63ms
 90.000%   34.40ms
 99.000%   40.51ms
 99.900%  116.29ms
 99.990%  117.89ms
 99.999%  117.89ms
100.000%  117.89ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       5.131     0.000000            1         1.00
      16.959     0.100000          331         1.11
      22.335     0.200000          660         1.25
      24.895     0.300000          995         1.43
      26.751     0.400000         1321         1.67
      28.303     0.500000         1649         2.00
      29.023     0.550000         1815         2.22
      29.695     0.600000         1979         2.50
      30.367     0.650000         2143         2.86
      31.007     0.700000         2313         3.33
      31.631     0.750000         2473         4.00
      31.967     0.775000         2558         4.44
      32.303     0.800000         2638         5.00
      32.767     0.825000         2723         5.71
      33.247     0.850000         2805         6.67
      33.727     0.875000         2884         8.00
      34.079     0.887500         2926         8.89
      34.399     0.900000         2970        10.00
      34.687     0.912500         3008        11.43
      35.263     0.925000         3050        13.33
      35.871     0.937500         3090        16.00
      36.255     0.943750         3112        17.78
      36.479     0.950000         3132        20.00
      36.831     0.956250         3152        22.86
      37.183     0.962500         3173        26.67
      37.631     0.968750         3193        32.00
      37.855     0.971875         3205        35.56
      38.143     0.975000         3214        40.00
      38.335     0.978125         3224        45.71
      39.007     0.981250         3235        53.33
      39.615     0.984375         3245        64.00
      39.839     0.985938         3250        71.11
      40.159     0.987500         3255        80.00
      40.351     0.989062         3261        91.43
      40.639     0.990625         3266       106.67
      41.375     0.992188         3272       128.00
      41.727     0.992969         3273       142.22
      42.239     0.993750         3276       160.00
      42.431     0.994531         3278       182.86
     106.623     0.995313         3281       213.33
     110.655     0.996094         3284       256.00
     110.975     0.996484         3285       284.44
     111.039     0.996875         3286       320.00
     111.807     0.997266         3287       365.71
     114.111     0.997656         3289       426.67
     114.175     0.998047         3290       512.00
     114.303     0.998242         3291       568.89
     114.303     0.998437         3291       640.00
     114.495     0.998633         3292       731.43
     116.287     0.998828         3293       853.33
     116.287     0.999023         3293      1024.00
     116.799     0.999121         3294      1137.78
     116.799     0.999219         3294      1280.00
     116.799     0.999316         3294      1462.86
     117.247     0.999414         3295      1706.67
     117.247     0.999512         3295      2048.00
     117.247     0.999561         3295      2275.56
     117.247     0.999609         3295      2560.00
     117.247     0.999658         3295      2925.71
     117.887     0.999707         3296      3413.33
     117.887     1.000000         3296          inf
#[Mean    =       27.335, StdDeviation   =        9.166]
#[Max     =      117.824, Total count    =         3296]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  3600 requests in 2.00m, 0.85MB read
Requests/sec:     30.00
Transfer/sec:      7.26KB
