Running 3m test @ http://10.108.73.23:9080/productpage
  4 threads and 10 connections
  Thread calibration: mean lat.: 146.829ms, rate sampling interval: 543ms
  Thread calibration: mean lat.: 135.026ms, rate sampling interval: 510ms
  Thread calibration: mean lat.: 132.256ms, rate sampling interval: 452ms
  Thread calibration: mean lat.: 120.644ms, rate sampling interval: 423ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   105.44ms   49.04ms 268.54ms   68.24%
    Req/Sec     4.36      1.41     9.00     86.14%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  102.08ms
 75.000%  137.21ms
 90.000%  174.21ms
 99.000%  234.24ms
 99.900%  265.21ms
 99.990%  268.80ms
 99.999%  268.80ms
100.000%  268.80ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.479     0.000000            1         1.00
      45.567     0.100000          341         1.11
      61.695     0.200000          680         1.25
      74.943     0.300000         1021         1.43
      91.007     0.400000         1361         1.67
     102.079     0.500000         1700         2.00
     108.095     0.550000         1871         2.22
     114.239     0.600000         2040         2.50
     119.999     0.650000         2212         2.86
     126.655     0.700000         2381         3.33
     137.215     0.750000         2553         4.00
     141.055     0.775000         2636         4.44
     146.431     0.800000         2721         5.00
     150.143     0.825000         2807         5.71
     156.671     0.850000         2891         6.67
     164.351     0.875000         2978         8.00
     168.575     0.887500         3019         8.89
     174.207     0.900000         3060        10.00
     178.303     0.912500         3104        11.43
     182.143     0.925000         3145        13.33
     187.135     0.937500         3188        16.00
     189.183     0.943750         3209        17.78
     190.335     0.950000         3230        20.00
     192.511     0.956250         3253        22.86
     196.479     0.962500         3273        26.67
     209.407     0.968750         3294        32.00
     216.447     0.971875         3305        35.56
     217.855     0.975000         3315        40.00
     219.007     0.978125         3327        45.71
     220.671     0.981250         3337        53.33
     223.615     0.984375         3347        64.00
     228.991     0.985938         3353        71.11
     230.655     0.987500         3358        80.00
     233.087     0.989062         3363        91.43
     235.135     0.990625         3369       106.67
     241.023     0.992188         3374       128.00
     257.279     0.992969         3377       142.22
     258.559     0.993750         3379       160.00
     259.071     0.994531         3382       182.86
     259.583     0.995313         3385       213.33
     260.351     0.996094         3387       256.00
     261.631     0.996484         3389       284.44
     261.759     0.996875         3390       320.00
     262.399     0.997266         3392       365.71
     262.655     0.997656         3394       426.67
     262.655     0.998047         3394       512.00
     263.167     0.998242         3395       568.89
     263.167     0.998437         3395       640.00
     263.935     0.998633         3396       731.43
     265.215     0.998828         3397       853.33
     265.215     0.999023         3397      1024.00
     267.519     0.999121         3398      1137.78
     267.519     0.999219         3398      1280.00
     267.519     0.999316         3398      1462.86
     268.031     0.999414         3399      1706.67
     268.031     0.999512         3399      2048.00
     268.031     0.999561         3399      2275.56
     268.031     0.999609         3399      2560.00
     268.031     0.999658         3399      2925.71
     268.799     0.999707         3400      3413.33
     268.799     1.000000         3400          inf
#[Mean    =      105.437, StdDeviation   =       49.042]
#[Max     =      268.544, Total count    =         3400]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  3600 requests in 3.00m, 52.65MB read
Requests/sec:     20.00
Transfer/sec:    299.48KB
