Running 3m test @ http://10.108.73.23:9080/productpage
  4 threads and 10 connections
  Thread calibration: mean lat.: 84.991ms, rate sampling interval: 209ms
  Thread calibration: mean lat.: 92.304ms, rate sampling interval: 221ms
  Thread calibration: mean lat.: 89.971ms, rate sampling interval: 212ms
  Thread calibration: mean lat.: 92.575ms, rate sampling interval: 228ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    94.51ms   25.34ms 166.02ms   68.09%
    Req/Sec     4.71      4.06     9.00    100.00%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   97.34ms
 75.000%  103.87ms
 90.000%  132.48ms
 99.000%  154.37ms
 99.900%  164.61ms
 99.990%  166.14ms
 99.999%  166.14ms
100.000%  166.14ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      35.711     0.000000            1         1.00
      57.759     0.100000          341         1.11
      71.807     0.200000          680         1.25
      85.951     0.300000         1020         1.43
      94.655     0.400000         1362         1.67
      97.343     0.500000         1714         2.00
      98.303     0.550000         1871         2.22
      99.455     0.600000         2042         2.50
     100.735     0.650000         2218         2.86
     102.143     0.700000         2380         3.33
     103.871     0.750000         2555         4.00
     104.831     0.775000         2635         4.44
     106.303     0.800000         2722         5.00
     108.543     0.825000         2805         5.71
     111.871     0.850000         2890         6.67
     120.575     0.875000         2976         8.00
     129.023     0.887500         3018         8.89
     132.479     0.900000         3060        10.00
     136.319     0.912500         3103        11.43
     139.263     0.925000         3145        13.33
     142.079     0.937500         3188        16.00
     143.103     0.943750         3210        17.78
     144.255     0.950000         3230        20.00
     145.279     0.956250         3252        22.86
     146.047     0.962500         3275        26.67
     147.455     0.968750         3295        32.00
     147.967     0.971875         3305        35.56
     148.607     0.975000         3316        40.00
     149.247     0.978125         3329        45.71
     149.887     0.981250         3339        53.33
     151.295     0.984375         3347        64.00
     151.679     0.985938         3353        71.11
     152.447     0.987500         3358        80.00
     153.983     0.989062         3363        91.43
     155.903     0.990625         3369       106.67
     157.951     0.992188         3374       128.00
     158.591     0.992969         3378       142.22
     158.975     0.993750         3381       160.00
     159.359     0.994531         3382       182.86
     159.871     0.995313         3385       213.33
     161.919     0.996094         3387       256.00
     162.047     0.996484         3390       284.44
     162.047     0.996875         3390       320.00
     162.175     0.997266         3391       365.71
     163.071     0.997656         3394       426.67
     163.071     0.998047         3394       512.00
     163.199     0.998242         3395       568.89
     163.199     0.998437         3395       640.00
     163.583     0.998633         3396       731.43
     164.607     0.998828         3397       853.33
     164.607     0.999023         3397      1024.00
     164.735     0.999121         3398      1137.78
     164.735     0.999219         3398      1280.00
     164.735     0.999316         3398      1462.86
     165.631     0.999414         3399      1706.67
     165.631     0.999512         3399      2048.00
     165.631     0.999561         3399      2275.56
     165.631     0.999609         3399      2560.00
     165.631     0.999658         3399      2925.71
     166.143     0.999707         3400      3413.33
     166.143     1.000000         3400          inf
#[Mean    =       94.508, StdDeviation   =       25.335]
#[Max     =      166.016, Total count    =         3400]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  3600 requests in 3.00m, 52.64MB read
Requests/sec:     20.00
Transfer/sec:    299.45KB
